Episode,Cumulative Reward
0,-370
1,-359
2,-68
3,-314
4,-182
5,-38
6,-180
7,-44
8,-25
9,-52
10,-19
11,-58
12,-26
13,-31
14,-44
15,-32
16,-28
17,-55
18,-28
19,-31
20,-39
21,-33
22,-22
23,-22
24,-22
25,-49
26,-37
27,-13
28,-11
29,-19
30,-16
31,-20
32,-14
33,-17
34,-25
35,-23
36,-37
37,-35
38,-11
39,-12
40,-17
41,-17
42,-18
43,-15
44,-14
45,-20
46,-10
47,-14
48,-15
49,-13
50,-16
51,-8
52,-22
53,-11
54,-14
55,-14
56,-10
57,-9
58,-9
59,-11
60,-7
61,-9
62,-19
63,-9
64,-12
65,-11
66,-17
67,-12
68,-11
69,-7
70,-8
71,-9
72,-10
73,-11
74,-11
75,-9
76,-8
77,-19
78,-7
79,-14
80,-9
81,-18
82,-7
83,-16
84,-20
85,-8
86,-15
87,-16
88,-14
89,-10
90,-10
91,-20
92,-15
93,-13
94,-10
95,-11
96,-7
97,-14
98,-19
99,-9
100,-15
101,-13
102,-9
103,-13
104,-12
105,-26
106,-10
107,-15
108,-12
109,-19
110,-13
111,-18
112,-20
113,-15
114,-21
115,-12
116,-13
117,-15
118,-10
119,-10
120,-25
121,-13
122,-13
123,-15
124,-9
125,-25
126,-15
127,-16
128,-33
129,-18
130,-15
131,-15
132,-16
133,-8
134,-10
135,-15
136,-14
137,-9
138,-13
139,-11
140,-14
141,-7
142,-19
143,-7
144,-20
145,-14
146,-11
147,-14
148,-7
149,-8
150,-17
151,-22
152,-10
153,-13
154,-8
155,-11
156,-7
157,-9
158,-12
159,-9
160,-9
161,-15
162,-14
163,-17
164,-15
165,-11
166,-14
167,-11
168,-9
169,-17
170,-10
171,-18
172,-14
173,-12
174,-12
175,-9
176,-11
177,-17
178,-11
179,-14
180,-17
181,-9
182,-11
183,-11
184,-18
185,-15
186,-13
187,-11
188,-7
189,-20
190,-11
191,-15
192,-10
193,-14
194,-12
195,-17
196,-17
197,-15
198,-16
199,-9
200,-11
201,-11
202,-11
203,-13
204,-10
205,-19
206,-17
207,-13
208,-9
209,-17
210,-10
211,-9
212,-22
213,-9
214,-7
215,-13
216,-9
217,-11
218,-15
219,-16
220,-17
221,-11
222,-11
223,-8
224,-8
225,-7
226,-7
227,-24
228,-16
229,-12
230,-7
231,-14
232,-18
233,-10
234,-16
235,-7
236,-18
237,-10
238,-16
239,-35
240,-10
241,-11
242,-13
243,-18
244,-18
245,-10
246,-18
247,-13
248,-7
249,-20
250,-20
251,-11
252,-17
253,-23
254,-8
255,-17
256,-12
257,-10
258,-13
259,-11
260,-10
261,-15
262,-15
263,-9
264,-11
265,-10
266,-7
267,-11
268,-9
269,-17
270,-17
271,-15
272,-7
273,-12
274,-17
275,-9
276,-7
277,-8
278,-10
279,-12
280,-9
281,-11
282,-19
283,-7
284,-16
285,-7
286,-11
287,-7
288,-7
289,-14
290,-15
291,-7
292,-9
293,-10
294,-9
295,-18
296,-13
297,-14
298,-15
299,-12
300,-11
301,-9
302,-7
303,-7
304,-12
305,-14
306,-10
307,-9
308,-7
309,-8
310,-20
311,-10
312,-11
313,-9
314,-9
315,-12
316,-9
317,-9
318,-7
319,-9
320,-11
321,-8
322,-16
323,-13
324,-16
325,-15
326,-11
327,-15
328,-23
329,-16
330,-11
331,-12
332,-13
333,-23
334,-12
335,-11
336,-11
337,-13
338,-7
339,-16
340,-11
341,-11
342,-11
343,-13
344,-7
345,-13
346,-10
347,-15
348,-18
349,-7
350,-10
351,-14
352,-7
353,-11
354,-12
355,-9
356,-14
357,-7
358,-13
359,-14
360,-16
361,-17
362,-7
363,-7
364,-17
365,-8
366,-13
367,-7
368,-11
369,-11
370,-9
371,-16
372,-12
373,-19
374,-19
375,-15
376,-11
377,-14
378,-11
379,-13
380,-9
381,-9
382,-10
383,-12
384,-15
385,-10
386,-9
387,-9
388,-13
389,-8
390,-9
391,-13
392,-11
393,-10
394,-9
395,-14
396,-11
397,-12
398,-7
399,-12
400,-22
401,-14
402,-8
403,-15
404,-9
405,-10
406,-13
407,-11
408,-10
409,-22
410,-9
411,-14
412,-14
413,-23
414,-10
415,-11
416,-11
417,-12
418,-21
419,-26
420,-10
421,-9
422,-9
423,-13
424,-11
425,-15
426,-13
427,-18
428,-10
429,-11
430,-9
431,-16
432,-8
433,-11
434,-9
435,-17
436,-21
437,-15
438,-15
439,-8
440,-15
441,-14
442,-10
443,-15
444,-11
445,-13
446,-8
447,-11
448,-14
449,-7
450,-9
451,-7
452,-11
453,-15
454,-9
455,-15
456,-11
457,-11
458,-7
459,-11
460,-11
461,-9
462,-8
463,-9
464,-13
465,-7
466,-14
467,-16
468,-10
469,-18
470,-12
471,-15
472,-13
473,-10
474,-13
475,-8
476,-15
477,-9
478,-8
479,-23
480,-9
481,-11
482,-15
483,-10
484,-7
485,-7
486,-10
487,-15
488,-11
489,-13
490,-11
491,-10
492,-9
493,-8
494,-9
495,-17
496,-9
497,-15
498,-19
499,-13
500,-12
501,-15
502,-11
503,-19
504,-11
505,-15
506,-11
507,-13
508,-11
509,-12
510,-7
511,-16
512,-13
513,-21
514,-15
515,-11
516,-10
517,-13
518,-9
519,-9
520,-12
521,-15
522,-11
523,-8
524,-7
525,-25
526,-30
527,-15
528,-14
529,-11
530,-13
531,-19
532,-7
533,-11
534,-9
535,-13
536,-13
537,-13
538,-16
539,-10
540,-9
541,-11
542,-12
543,-11
544,-11
545,-9
546,-15
547,-8
548,-11
549,-7
550,-9
551,-11
552,-16
553,-11
554,-11
555,-14
556,-11
557,-8
558,-17
559,-8
560,-15
561,-15
562,-7
563,-21
564,-9
565,-10
566,-15
567,-10
568,-9
569,-9
570,-7
571,-12
572,-15
573,-7
574,-10
575,-17
576,-7
577,-9
578,-8
579,-9
580,-12
581,-14
582,-10
583,-13
584,-9
585,-11
586,-14
587,-7
588,-9
589,-9
590,-9
591,-9
592,-15
593,-18
594,-8
595,-10
596,-13
597,-17
598,-8
599,-9
600,-8
601,-9
602,-10
603,-9
604,-14
605,-10
606,-10
607,-10
608,-20
609,-15
610,-12
611,-8
612,-12
613,-10
614,-15
615,-19
616,-15
617,-16
618,-9
619,-11
620,-12
621,-16
622,-11
623,-11
624,-13
625,-7
626,-12
627,-10
628,-7
629,-8
630,-9
631,-11
632,-18
633,-14
634,-13
635,-7
636,-11
637,-11
638,-8
639,-13
640,-11
641,-13
642,-9
643,-7
644,-13
645,-13
646,-12
647,-11
648,-7
649,-9
650,-10
651,-7
652,-10
653,-13
654,-9
655,-8
656,-10
657,-12
658,-10
659,-13
660,-11
661,-15
662,-7
663,-7
664,-9
665,-11
666,-9
667,-9
668,-15
669,-7
670,-7
671,-11
672,-15
673,-11
674,-10
675,-13
676,-9
677,-7
678,-12
679,-13
680,-11
681,-11
682,-12
683,-9
684,-13
685,-16
686,-11
687,-12
688,-10
689,-13
690,-9
691,-10
692,-11
693,-7
694,-13
695,-15
696,-11
697,-8
698,-13
699,-7
700,-9
701,-10
702,-19
703,-11
704,-20
705,-13
706,-7
707,-7
708,-7
709,-9
710,-11
711,-10
712,-16
713,-11
714,-9
715,-7
716,-11
717,-13
718,-13
719,-13
720,-7
721,-14
722,-12
723,-10
724,-13
725,-10
726,-14
727,-7
728,-8
729,-19
730,-11
731,-10
732,-11
733,-13
734,-13
735,-11
736,-20
737,-14
738,-11
739,-12
740,-9
741,-13
742,-10
743,-15
744,-17
745,-11
746,-7
747,-15
748,-10
749,-12
750,-14
751,-20
752,-15
753,-14
754,-13
755,-19
756,-7
757,-9
758,-15
759,-18
760,-8
761,-7
762,-7
763,-13
764,-11
765,-13
766,-13
767,-9
768,-19
769,-11
770,-10
771,-8
772,-13
773,-9
774,-12
775,-8
776,-9
777,-9
778,-11
779,-17
780,-14
781,-13
782,-11
783,-11
784,-9
785,-15
786,-14
787,-7
788,-14
789,-9
790,-9
791,-9
792,-14
793,-16
794,-13
795,-17
796,-11
797,-11
798,-9
799,-13
800,-15
801,-12
802,-9
803,-12
804,-15
805,-9
806,-9
807,-15
808,-12
809,-15
810,-16
811,-7
812,-13
813,-7
814,-13
815,-15
816,-11
817,-9
818,-10
819,-11
820,-9
821,-12
822,-17
823,-10
824,-7
825,-9
826,-18
827,-10
828,-9
829,-9
830,-9
831,-11
832,-13
833,-8
834,-14
835,-12
836,-20
837,-8
838,-7
839,-13
840,-16
841,-10
842,-8
843,-8
844,-7
845,-13
846,-9
847,-10
848,-21
849,-11
850,-9
851,-9
852,-11
853,-11
854,-11
855,-11
856,-8
857,-9
858,-15
859,-11
860,-11
861,-9
862,-14
863,-29
864,-7
865,-9
866,-8
867,-12
868,-10
869,-10
870,-7
871,-20
872,-14
873,-11
874,-7
875,-11
876,-7
877,-12
878,-8
879,-8
880,-15
881,-12
882,-7
